Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,22.320000,23.160000,22.139999,23.020000,23.020000,11672300
2020-01-03,22.500000,22.920000,22.379999,22.459999,22.459999,6765400
2020-01-06,22.320000,23.660000,22.160000,23.520000,23.520000,12528700
2020-01-07,23.530001,23.950001,23.219999,23.830000,23.830000,9948100
2020-01-08,23.610001,24.260000,23.250000,23.770000,23.770000,7522700
2020-01-09,23.770000,23.959999,22.500000,23.170000,23.170000,11306800
2020-01-10,23.350000,23.440001,22.760000,23.120001,23.120001,5633800
2020-01-13,23.190001,23.510000,22.820000,23.200001,23.200001,5829400
2020-01-14,22.940001,22.940001,21.910000,22.280001,22.280001,10466400
2020-01-15,22.400000,23.230000,22.215000,22.330000,22.330000,7991900
2020-01-16,22.549999,23.296000,22.549999,22.969999,22.969999,6955000
2020-01-17,23.190001,23.240000,22.170000,22.459999,22.459999,9408700
2020-01-21,22.480000,22.680000,22.059999,22.309999,22.309999,5275900
2020-01-22,22.500000,22.750000,22.129999,22.139999,22.139999,3964000
2020-01-23,22.240000,22.285999,21.209999,21.219999,21.219999,8073000
2020-01-24,21.469999,21.796000,20.559999,20.590000,20.590000,9070500
2020-01-27,20.049999,20.500000,19.799999,20.059999,20.059999,9400400
2020-01-28,20.570000,21.180000,20.405001,20.980000,20.980000,8438200
2020-01-29,21.219999,21.273001,20.480000,20.799999,20.799999,7142800
2020-01-30,20.620001,20.730000,20.110001,20.639999,20.639999,6295300
2020-01-31,20.510000,20.780001,20.200001,20.730000,20.730000,5398800
2020-02-03,20.780001,21.100000,20.264999,20.980000,20.980000,6469300
2020-02-04,21.549999,23.590000,21.549999,23.250000,23.250000,20621100
2020-02-05,23.360001,23.660000,22.530001,23.309999,23.309999,12429000
2020-02-06,23.400000,23.480000,22.540001,22.650000,22.650000,7972400
2020-02-07,22.610001,23.070000,22.500000,22.990000,22.990000,4735000
2020-02-10,23.120001,27.889999,23.000000,26.540001,26.540001,61006000
2020-02-11,24.549999,26.030001,24.330000,25.980000,25.980000,22224000
2020-02-12,26.049999,26.370001,24.870001,25.809999,25.809999,9891700
2020-02-13,25.450001,26.660000,25.259001,26.549999,26.549999,9858900
2020-02-14,27.000000,28.379999,26.620001,27.990000,27.990000,17914500
2020-02-18,28.100000,29.370001,27.320000,27.580000,27.580000,14606500
2020-02-19,27.840000,28.340000,27.410000,27.500000,27.500000,7219000
2020-02-20,27.570000,28.075001,26.520000,27.490000,27.490000,10114800
2020-02-21,29.670000,29.700001,27.700001,28.440001,28.440001,18551000
2020-02-24,27.080000,28.379999,26.340000,27.920000,27.920000,11519500
2020-02-25,28.059999,28.299999,26.219999,26.750000,26.750000,11124600
2020-02-26,27.420000,27.700001,26.150000,26.610001,26.610001,7564700
2020-02-27,25.580000,27.080000,25.090000,26.219999,26.219999,8731500
2020-02-28,25.250000,27.040001,25.142000,27.020000,27.020000,9918700
2020-03-02,27.709999,27.709999,26.010000,27.209999,27.209999,9163800
2020-03-03,27.090000,27.270000,26.110001,26.920000,26.920000,8929900
2020-03-04,27.000000,27.809999,26.730000,27.799999,27.799999,7931800
2020-03-05,27.100000,30.469999,27.000000,28.389999,28.389999,20713800
2020-03-06,28.780001,29.190001,25.250000,26.420000,26.420000,17042100
2020-03-09,24.330000,25.049999,23.129999,24.889999,24.889999,10489100
2020-03-10,26.040001,26.100000,23.600000,25.059999,25.059999,11114400
2020-03-11,24.799999,25.280001,22.860001,23.620001,23.620001,9381500
2020-03-12,21.740000,24.480000,20.760000,21.350000,21.350000,22313100
2020-03-13,21.020000,21.020000,15.900000,19.590000,19.590000,49949500
2020-03-16,16.030001,19.430000,15.100000,17.040001,17.040001,22321400
2020-03-17,17.049999,21.370001,16.760000,19.900000,19.900000,21975500
2020-03-18,17.990000,18.700001,16.030001,18.010000,18.010000,26186700
